"";"sentimentTerm";"score"
"718";"egoist";-0,3179
"719";"egoistisch";-0,3254
"720";"ehebrechen";-0,3128
"721";"ehebruch";-0,4743
"722";"ehre";0,0732
"723";"ehren";0,0612
"724";"ehrenwert";0,004
"725";"ehrfurcht";0,004
"726";"ehrfürchtig";0,004
"727";"ehrgeizig";0,2076
"728";"ehrlich";0,1212
"729";"ehrlichkeit";0,004
"730";"ehrwürdig";0,004
"731";"ehrwürdigkeit";0,004
"732";"eifer";0,004
"733";"eifern";0,004
"734";"eifrig";0,004
"735";"eigenartig";-0,0048
"736";"eigenkapital";0,004
"737";"eignen";0,1006
"738";"eignung";0,004
"739";"einbehalten";-0,0048
"740";"einbrechen";-0,0048
"741";"einbrecher";-0,0048
"742";"einbruch";-0,3498
"743";"einbuße";-0,0048
"744";"eindeutig";0,004
"745";"eindeutigkeit";0,004
"746";"eindrucksvoll";0,3001
"747";"einfach";0,004
"748";"einfallsreich";0,2031
"749";"einfallsreichtum";0,004
"750";"einfältig";-0,1858
"751";"einflußreich";0,004
"752";"eingehen";-0,0048
"753";"eingeschränkt";-0,0048
"754";"einhalten";0,004
"755";"einhaltung";0,004
"756";"einheit";0,004
"757";"einheitlich";0,004
"758";"einheitlichkeit";0,004
"759";"einkauf";0,004
"760";"einkaufen";0,2249
"761";"einmalig";0,3137
"762";"einnahme";0,004
"763";"einnehmen";0,004
"764";"einsam";-0,1634
"765";"einsamkeit";-0,339
"766";"einschlag";-0,0048
"767";"einschlagen";-0,0048
"768";"einschränken";-0,3327
"769";"einschränkung";-0,2048
"770";"einschrumpfen";-0,0048
"771";"einschüchtern";-0,0048
"772";"einschüchternd";-0,0048
"773";"einschüchterung";-0,0048
"774";"einsinken";-0,0366
"775";"einsparen";0,004
"776";"einsparung";0,004
"777";"einstellen";-0,0048
"778";"einsturz";-0,0048
"779";"einstürzen";-0,0048
"780";"eintönig";-0,0378
"781";"einträglich";0,004
"782";"einwandfrei";0,0949
"783";"einweihen";0,004
"784";"einweihung";0,004
"785";"einzigartig";0,3078
"786";"einzigartigkeit";0,004
"787";"ekel";-0,462
"788";"ekelerregend";-0,0413
"789";"ekelig";-0,0048
"790";"eklatant";-0,0048
"791";"elegant";0,2115
"792";"eleganz";0,004
"793";"elend";-0,1266
"794";"elendig";-0,0048
"795";"empathie";0,004
"796";"empathisch";0,004
"797";"empfehlen";0,004
